,student_id,age,gender,country,major,university_year,GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,part_time_job,relationship_status,family_income_level,internet_quality,mental_stress_level,AI_tool_usage_hours,favorite_AI_tool,note_taking_method,exam_preparation_days,coffee_consumption_per_day,extracurricular_hours_per_week,final_exam_score,assignment_score
21,S00022,18,Male,USA,Mathematics,2,4.0,3.2,98,7.7,7.0,3.1,3.2,1.8,Yes,Single,Middle,Average,3.4,0.4,Claude,Handwritten,23,2,7.4,96,100
22,S00023,26,Female,USA,Medicine,4,4.0,3.6,100,8.6,5.6,3.0,1.2,3.6,Yes,In a Relationship,Low,Good,3.3,1.0,ChatGPT,Mixed,12,3,0.0,98,100
23,S00024,23,Female,Germany,Mathematics,2,3.36,1.4,83,7.1,4.8,2.3,1.5,5.0,Yes,Single,Middle,Average,2.7,1.9,Gemini,Mixed,1,3,6.6,72,99
24,S00025,18,Female,Italy,Economics,3,3.99,2.7,94,7.9,5.7,1.4,0.0,1.1,Yes,Single,Middle,Good,2.7,0.0,None,Digital,10,3,3.8,100,100
25,S00026,27,Male,Australia,Computer Science,4,3.77,3.7,90,8.8,8.2,4.9,0.9,3.4,No,In a Relationship,Low,Average,3.3,2.8,Gemini,Mixed,10,0,6.0,98,97
26,S00027,24,Female,Italy,Biology,1,3.24,1.8,72,7.3,9.9,5.6,2.2,6.7,Yes,Single,Low,Poor,3.5,2.1,ChatGPT,Digital,6,3,2.8,97,84
27,S00028,19,Female,Netherlands,Computer Science,3,4.0,4.1,100,6.7,1.6,1.5,0.5,2.3,No,Single,High,Average,3.0,2.1,Claude,Handwritten,9,2,3.4,100,100
28,S00029,22,Male,Bangladesh,Engineering,3,3.01,2.6,78,5.0,5.8,2.7,0.0,5.1,Yes,Single,High,Average,4.7,1.6,ChatGPT,Digital,11,3,2.5,100,77
29,S00030,23,Male,Japan,Business,1,3.96,3.1,94,6.9,3.2,2.1,0.3,2.7,Yes,In a Relationship,Low,Average,1.9,0.3,Claude,Digital,12,0,1.9,100,92
30,S00031,22,Female,Germany,Business,3,3.83,2.6,91,8.0,5.2,2.2,3.1,6.6,Yes,In a Relationship,Low,Good,2.1,2.2,Copilot,Handwritten,5,1,1.5,100,84
31,S00032,21,Male,France,Biology,1,4.0,6.3,100,8.1,8.5,4.6,2.0,0.0,Yes,In a Relationship,Middle,Average,4.9,0.9,Claude,Digital,15,5,4.6,100,100
32,S00033,20,Female,India,Business,1,4.0,3.5,97,7.6,5.9,0.8,2.7,3.1,Yes,In a Relationship,High,Good,4.2,0.0,None,Digital,20,0,7.8,100,88
33,S00034,22,Female,South Korea,Medicine,3,3.41,1.9,88,6.4,5.4,3.5,2.3,0.0,Yes,In a Relationship,Middle,Average,4.9,1.3,ChatGPT,Mixed,13,2,3.8,85,84
34,S00035,24,Female,Japan,Business,1,3.45,4.7,100,4.6,6.3,3.9,4.7,1.6,No,Single,High,Poor,5.5,0.0,None,Mixed,18,3,3.8,100,96
35,S00036,28,Female,Japan,Physics,3,3.1,1.7,79,6.4,5.5,2.6,2.8,1.6,Yes,In a Relationship,High,Poor,4.4,0.6,Copilot,Handwritten,13,1,4.6,93,86
36,S00037,27,Male,Italy,Psychology,4,3.48,3.8,82,6.6,5.9,4.1,1.5,2.5,Yes,In a Relationship,Middle,Good,3.0,1.9,Gemini,Digital,7,1,6.0,100,87
37,S00038,22,Female,Brazil,Business,1,3.13,0.6,71,6.6,7.2,3.0,1.2,0.6,No,In a Relationship,Middle,Average,5.4,1.1,Copilot,Digital,13,2,2.9,83,67
38,S00039,22,Male,Australia,Engineering,3,2.9,1.5,84,7.7,7.5,4.6,2.1,2.9,No,In a Relationship,High,Good,5.2,1.2,ChatGPT,Mixed,9,7,2.3,92,95
39,S00040,22,Female,Bangladesh,Mathematics,4,4.0,3.8,95,9.4,3.6,0.5,3.1,3.9,No,Single,High,Good,2.9,2.4,Claude,Handwritten,6,2,3.0,100,100
40,S00041,20,Female,Canada,Biology,4,3.67,4.6,100,7.1,6.0,2.3,0.4,0.0,No,In a Relationship,Middle,Average,6.9,0.0,None,Handwritten,12,1,5.8,100,97
41,S00042,23,Male,USA,Biology,2,4.0,3.8,100,6.7,5.6,2.7,2.1,1.7,Yes,Single,Middle,Average,3.1,2.3,Gemini,Handwritten,16,1,4.1,100,100
42,S00043,19,Male,UK,Business,1,4.0,3.3,97,6.7,2.0,0.0,1.7,8.1,Yes,Single,Middle,Average,1.0,1.3,Claude,Digital,10,0,1.1,100,100
43,S00044,28,Female,Canada,Medicine,1,3.94,3.0,100,7.1,4.1,1.2,1.9,3.7,No,Single,Middle,Average,4.0,1.1,ChatGPT,Handwritten,22,3,5.2,92,97
44,S00045,25,Male,Canada,Computer Science,3,3.16,1.3,79,6.0,3.6,1.6,1.1,0.0,Yes,In a Relationship,Middle,Good,4.2,1.2,Claude,Mixed,17,2,1.5,86,75
45,S00046,26,Male,USA,Biology,3,3.37,2.4,87,7.1,7.3,4.2,2.2,0.2,Yes,Single,High,Poor,4.2,1.8,ChatGPT,Handwritten,9,3,5.6,100,97
46,S00047,23,Female,Germany,Business,1,3.27,2.8,100,7.5,5.9,1.7,3.2,3.5,No,In a Relationship,Low,Good,3.1,2.2,Gemini,Handwritten,9,0,6.1,92,82
47,S00048,20,Male,Germany,Psychology,1,4.0,5.1,95,7.3,3.2,1.6,2.0,3.2,Yes,In a Relationship,Middle,Good,2.8,1.0,Copilot,Handwritten,23,2,3.4,100,100
48,S00049,20,Male,Canada,Biology,2,3.68,4.0,89,7.5,5.2,4.0,0.0,1.8,Yes,In a Relationship,Middle,Average,6.3,1.1,Claude,Handwritten,10,2,7.3,99,94
49,S00050,22,Male,India,Psychology,4,3.0,0.9,91,7.5,3.5,0.4,0.3,7.4,No,In a Relationship,High,Average,4.3,1.8,ChatGPT,Handwritten,14,2,7.4,84,100
50,S00051,21,Female,Canada,Computer Science,4,4.0,4.0,100,4.9,2.1,0.0,3.7,8.2,No,Single,Middle,Good,1.0,0.0,None,Digital,14,0,3.4,100,100
51,S00052,18,Female,India,Law,2,3.35,2.9,80,7.8,5.3,2.3,0.0,2.5,Yes,In a Relationship,Middle,Average,2.2,1.1,ChatGPT,Digital,3,0,5.6,76,99
52,S00053,25,Female,Brazil,Physics,1,4.0,2.5,100,6.2,4.0,0.6,0.0,4.7,No,Single,Middle,Average,2.4,1.7,Copilot,Digital,3,4,8.4,100,100
53,S00054,25,Male,Japan,Biology,2,3.89,4.4,80,5.7,1.1,0.7,0.7,4.8,Yes,Single,Middle,Average,2.6,0.7,ChatGPT,Handwritten,16,1,3.5,100,95
54,S00055,19,Male,South Korea,Engineering,4,3.96,5.0,100,5.7,7.5,3.7,0.5,5.1,Yes,Single,Middle,Average,3.7,0.4,Copilot,Digital,7,2,1.8,100,95
55,S00056,27,Female,Brazil,Medicine,1,4.0,4.9,100,7.5,5.7,4.1,1.5,1.7,Yes,Single,Low,Average,4.5,1.0,Gemini,Digital,12,3,1.6,100,100
56,S00057,21,Female,UK,Computer Science,2,3.07,2.2,75,6.7,7.0,4.0,2.1,6.9,No,Single,Middle,Average,3.4,0.6,ChatGPT,Handwritten,4,1,6.2,95,96
57,S00058,20,Male,UK,Engineering,4,3.14,3.0,77,5.0,6.7,4.5,2.0,2.9,No,Single,Middle,Poor,4.1,1.0,ChatGPT,Mixed,10,2,1.5,100,90
58,S00059,21,Male,India,Economics,3,3.65,4.0,89,7.6,7.0,4.7,0.9,3.8,No,Single,Middle,Average,3.4,0.7,ChatGPT,Digital,13,5,3.6,94,94
59,S00060,20,Male,France,Business,3,3.95,5.0,100,5.3,5.0,0.0,0.8,3.0,No,In a Relationship,Middle,Average,5.1,2.8,Claude,Handwritten,2,0,3.1,100,100
60,S00061,23,Male,Bangladesh,Physics,1,3.4,2.8,100,7.2,6.9,3.5,1.1,2.7,No,Single,Low,Good,4.0,0.1,None,Mixed,12,2,4.7,100,90
61,S00062,21,Male,UK,Computer Science,1,3.87,3.2,100,7.3,6.1,2.0,3.1,3.6,Yes,Single,Middle,Good,3.1,2.0,Claude,Digital,13,1,3.4,100,100
62,S00063,21,Male,Netherlands,Psychology,4,3.54,1.8,97,8.1,4.9,1.7,0.9,0.6,No,In a Relationship,Low,Average,2.2,0.6,Copilot,Digital,10,3,4.8,82,93
63,S00064,28,Male,Germany,Economics,1,3.42,1.7,80,9.1,7.3,3.6,2.0,0.0,No,Single,Middle,Good,3.8,1.5,Gemini,Mixed,6,2,3.8,88,93
64,S00065,25,Female,Japan,Mathematics,1,3.76,4.7,100,5.4,3.7,0.2,1.3,2.6,Yes,In a Relationship,High,Good,4.6,1.8,ChatGPT,Handwritten,10,2,3.1,100,100
65,S00066,24,Female,Germany,Medicine,4,4.0,5.5,100,6.9,3.5,0.2,0.8,1.2,Yes,Single,Middle,Average,4.0,2.7,Gemini,Handwritten,10,1,3.2,100,81
66,S00067,19,Male,France,Law,1,3.54,3.4,87,6.7,8.1,3.8,2.6,4.1,No,Single,Middle,Average,5.2,1.6,Copilot,Digital,22,1,2.6,96,100
67,S00068,26,Female,Germany,Engineering,2,4.0,5.0,99,7.5,6.7,3.5,0.7,3.9,No,In a Relationship,High,Average,2.8,0.8,Copilot,Handwritten,11,3,4.8,100,93
68,S00069,25,Male,Australia,Mathematics,2,3.92,4.0,100,7.3,8.7,3.0,1.8,3.0,Yes,In a Relationship,Low,Poor,2.8,1.3,Claude,Digital,10,1,6.1,100,100
69,S00070,21,Female,Australia,Physics,1,3.42,2.5,82,6.6,5.7,1.5,2.3,6.0,No,Single,High,Average,4.2,3.1,Gemini,Handwritten,11,2,4.6,99,94
70,S00071,28,Female,Canada,Engineering,1,3.6,4.0,87,6.5,5.5,3.9,2.1,3.0,No,In a Relationship,Low,Good,5.5,1.4,Claude,Digital,14,0,1.1,89,93
71,S00072,19,Female,Canada,Business,3,4.0,5.8,100,5.7,6.6,3.8,1.9,0.1,No,Single,High,Good,5.2,0.0,None,Mixed,14,5,5.3,100,100
72,S00073,19,Female,Italy,Biology,3,4.0,3.4,94,8.2,6.4,2.9,1.6,2.6,Yes,Single,Middle,Average,4.6,0.8,Gemini,Handwritten,14,2,3.5,100,97
73,S00074,24,Female,USA,Engineering,1,4.0,5.8,100,7.6,4.1,1.0,1.7,5.3,Yes,In a Relationship,High,Poor,1.5,0.8,ChatGPT,Digital,15,3,2.5,100,100
74,S00075,24,Female,Germany,Biology,4,2.88,0.5,69,8.1,6.0,2.2,1.5,0.0,No,Single,Low,Good,2.8,1.9,ChatGPT,Handwritten,5,4,2.6,80,79
75,S00076,24,Female,USA,Medicine,3,3.94,4.7,92,6.6,8.1,4.1,0.8,2.8,No,Single,Low,Average,3.2,0.0,None,Mixed,15,0,1.7,100,93
76,S00077,19,Male,Australia,Engineering,2,3.55,3.6,95,6.2,6.2,4.8,0.7,4.2,No,In a Relationship,Middle,Good,5.3,0.7,Gemini,Digital,13,4,7.6,100,100
77,S00078,25,Male,Bangladesh,Business,4,3.19,3.1,92,5.7,6.8,2.3,1.5,8.3,Yes,In a Relationship,Low,Average,3.5,1.4,Claude,Digital,9,3,4.1,95,75
78,S00079,20,Male,Germany,Biology,3,3.23,3.6,89,7.4,4.8,2.4,1.7,5.4,No,In a Relationship,Middle,Good,2.8,0.9,Copilot,Handwritten,13,2,1.5,96,90
79,S00080,27,Female,Italy,Mathematics,4,2.9,0.5,64,5.8,4.9,2.6,1.8,3.3,Yes,In a Relationship,Middle,Average,3.6,1.3,Gemini,Digital,11,3,6.3,76,83
80,S00081,22,Female,Canada,Physics,4,3.41,3.2,85,9.2,5.5,3.2,2.3,4.0,No,Single,Low,Poor,5.7,1.3,Copilot,Handwritten,12,2,9.3,96,87
81,S00082,20,Male,UK,Economics,1,4.0,4.0,92,5.4,5.9,1.9,0.0,0.0,No,Single,High,Good,4.6,1.4,Claude,Digital,13,2,5.0,100,89
82,S00083,19,Female,France,Medicine,2,4.0,5.7,100,7.3,2.7,0.0,2.0,0.9,No,In a Relationship,Middle,Average,4.7,0.3,Copilot,Digital,4,3,3.7,100,94
83,S00084,22,Male,USA,Business,1,3.48,2.7,80,8.9,6.8,4.6,1.9,4.3,Yes,Single,Middle,Average,3.7,2.0,Gemini,Mixed,13,1,2.0,80,95
84,S00085,18,Female,Bangladesh,Economics,1,3.35,2.3,98,7.7,8.0,5.5,1.9,3.3,No,In a Relationship,High,Poor,4.3,0.7,Copilot,Digital,15,2,6.6,95,83
85,S00086,21,Male,UK,Engineering,4,3.5,2.7,94,7.2,2.7,1.9,2.1,3.6,No,Single,High,Average,4.9,1.2,Gemini,Digital,13,0,5.7,100,84
86,S00087,25,Male,Italy,Physics,2,3.7,4.9,100,5.8,3.2,1.2,0.5,3.1,No,In a Relationship,Middle,Good,4.6,0.0,None,Digital,8,1,2.6,100,90
87,S00088,21,Female,Italy,Engineering,1,3.58,4.0,94,5.3,4.1,2.6,1.8,3.0,No,Single,Low,Average,4.6,1.2,ChatGPT,Digital,8,2,6.2,100,97
88,S00089,23,Male,Netherlands,Law,2,3.12,2.7,79,7.9,5.2,2.5,1.8,3.2,Yes,In a Relationship,High,Average,4.7,1.4,Gemini,Digital,13,2,3.6,90,79
89,S00090,26,Male,Netherlands,Psychology,1,4.0,4.3,90,8.8,8.1,4.3,0.0,0.9,Yes,Single,Middle,Poor,7.0,1.2,Claude,Digital,16,0,6.8,100,100
90,S00091,25,Male,Netherlands,Physics,1,3.88,3.6,100,6.5,6.6,2.9,3.3,2.5,No,Single,High,Good,3.7,0.4,Claude,Mixed,19,2,5.2,100,100
91,S00092,26,Male,India,Engineering,3,4.0,5.0,100,5.6,6.1,1.6,0.3,0.5,No,In a Relationship,High,Average,5.1,2.3,Claude,Mixed,16,0,4.8,100,100
92,S00093,28,Female,Italy,Computer Science,3,3.2,2.4,66,4.1,5.0,0.8,1.8,1.8,No,In a Relationship,Middle,Good,4.1,1.8,Gemini,Handwritten,15,2,1.4,100,80
93,S00094,24,Male,Brazil,Engineering,1,3.67,3.0,88,5.8,6.5,4.1,0.0,5.4,No,In a Relationship,Low,Good,3.6,1.1,Gemini,Mixed,1,2,5.0,99,100
94,S00095,26,Female,France,Psychology,4,3.06,2.9,98,6.9,6.7,3.7,2.9,2.6,Yes,Single,Middle,Average,3.6,1.1,ChatGPT,Mixed,9,4,3.0,82,100
95,S00096,27,Male,Japan,Business,4,2.98,1.3,75,8.9,7.4,4.4,0.7,4.2,Yes,Single,Low,Good,5.4,0.5,ChatGPT,Handwritten,14,3,6.7,75,81
96,S00097,28,Male,Bangladesh,Economics,3,4.0,3.9,100,7.8,1.7,1.3,1.0,3.2,Yes,In a Relationship,Middle,Average,1.3,0.6,Gemini,Digital,9,1,1.6,100,85
97,S00098,24,Male,Canada,Physics,4,3.68,3.9,97,7.4,7.1,5.6,0.2,2.2,No,In a Relationship,High,Average,5.7,2.7,ChatGPT,Digital,7,0,6.5,100,99
98,S00099,18,Female,Netherlands,Physics,2,3.81,3.5,100,6.5,3.0,0.2,0.9,1.0,No,In a Relationship,Middle,Average,2.8,0.8,ChatGPT,Handwritten,7,3,3.1,100,100
99,S00100,26,Female,Australia,Economics,3,3.54,3.1,85,6.3,6.7,3.9,1.7,2.2,Yes,Single,Low,Average,6.7,4.0,Copilot,Mixed,21,3,2.0,100,75
100,S00101,24,Male,France,Business,2,3.81,1.4,88,8.7,3.6,0.0,3.5,3.4,Yes,In a Relationship,High,Good,2.0,0.0,None,Digital,6,3,5.0,100,99
101,S00102,23,Male,India,Medicine,3,3.66,2.9,88,7.2,5.2,1.6,2.6,4.2,No,Single,Low,Average,2.9,1.6,Gemini,Digital,11,2,0.7,100,86
102,S00103,18,Male,India,Computer Science,3,3.26,3.0,82,4.5,6.0,5.1,2.6,3.2,No,In a Relationship,Low,Good,7.4,1.4,Gemini,Digital,8,4,2.6,100,96
103,S00104,19,Male,Germany,Computer Science,4,3.27,2.3,83,6.2,7.6,4.0,0.0,4.3,Yes,Single,Middle,Average,5.4,1.2,Copilot,Digital,8,2,3.1,100,79
104,S00105,25,Male,Italy,Economics,4,3.43,3.3,88,6.0,5.2,2.0,1.8,0.0,No,Single,Middle,Good,5.3,0.0,None,Handwritten,14,2,3.4,95,95
105,S00106,26,Male,Netherlands,Economics,4,3.72,4.1,82,6.3,5.7,2.0,0.9,4.7,No,In a Relationship,Middle,Good,4.5,0.0,None,Digital,16,2,3.7,100,96
106,S00107,23,Female,South Korea,Computer Science,3,4.0,6.3,100,7.7,7.3,3.0,0.1,0.7,No,In a Relationship,Middle,Good,3.3,1.4,Gemini,Mixed,6,4,3.6,100,99
107,S00108,21,Female,USA,Engineering,4,3.72,3.8,85,6.9,6.4,3.6,0.7,5.0,No,In a Relationship,Middle,Good,4.8,0.2,None,Mixed,12,3,2.9,100,72
108,S00109,19,Male,India,Biology,3,3.86,3.9,83,6.9,9.2,4.7,1.5,4.0,No,Single,High,Poor,4.5,2.4,Gemini,Handwritten,11,0,4.3,100,91
109,S00110,22,Male,Italy,Business,4,4.0,3.4,91,8.6,4.0,2.1,1.0,0.0,No,In a Relationship,Middle,Average,4.2,1.0,Gemini,Handwritten,10,1,5.3,91,92
110,S00111,27,Male,Italy,Biology,2,3.16,0.6,82,6.2,2.3,0.4,1.9,4.5,Yes,Single,Middle,Average,3.6,1.5,Gemini,Handwritten,7,0,1.7,84,77
111,S00112,22,Male,India,Computer Science,2,4.0,3.5,88,9.2,6.5,3.0,0.0,5.0,No,Single,Middle,Average,1.9,1.2,Copilot,Digital,18,0,6.8,100,94
112,S00113,23,Male,Germany,Business,1,3.61,3.6,86,6.2,4.7,2.1,4.6,5.5,Yes,In a Relationship,Low,Good,4.2,1.1,Claude,Digital,7,2,1.1,100,94
113,S00114,23,Male,Bangladesh,Physics,4,4.0,7.2,100,7.1,4.1,0.8,1.8,1.5,Yes,In a Relationship,Low,Poor,3.3,2.7,Claude,Digital,5,3,6.7,100,100
114,S00115,28,Male,South Korea,Computer Science,2,3.36,3.2,83,6.7,8.6,3.2,0.9,3.4,No,Single,Low,Good,3.0,2.3,ChatGPT,Digital,17,2,2.9,100,100
115,S00116,24,Female,USA,Mathematics,4,3.99,4.0,88,7.1,6.0,2.5,1.1,4.4,Yes,Single,Low,Average,3.5,1.4,ChatGPT,Handwritten,13,1,5.7,100,100
116,S00117,24,Male,India,Economics,2,3.95,3.4,99,7.5,6.6,3.3,0.0,4.5,No,In a Relationship,Low,Average,3.8,1.9,ChatGPT,Digital,6,4,3.1,100,100
117,S00118,26,Female,Brazil,Biology,2,3.32,1.7,83,7.5,3.5,1.5,0.0,3.8,Yes,In a Relationship,Middle,Poor,3.8,2.4,Copilot,Handwritten,12,3,6.9,75,91
118,S00119,19,Female,South Korea,Physics,4,4.0,5.2,100,6.1,4.5,3.5,1.3,2.1,No,In a Relationship,Middle,Good,2.5,0.6,Copilot,Mixed,9,3,0.5,100,100
119,S00120,28,Male,Bangladesh,Business,3,4.0,4.6,100,5.7,3.7,0.8,1.8,5.0,No,Single,Middle,Average,3.7,0.0,None,Digital,19,1,3.1,100,84
120,S00121,18,Female,Canada,Psychology,2,4.0,4.7,100,10.0,5.9,1.6,0.0,5.0,Yes,In a Relationship,High,Average,1.6,1.8,ChatGPT,Handwritten,11,5,2.0,100,100
121,S00122,28,Male,Germany,Mathematics,2,3.4,2.1,88,6.4,5.0,2.4,0.3,2.7,No,In a Relationship,Low,Average,5.0,2.4,ChatGPT,Handwritten,15,0,1.2,89,100
122,S00123,20,Female,India,Biology,1,3.4,5.6,100,7.8,8.9,5.4,1.7,1.4,No,In a Relationship,Middle,Poor,5.1,0.0,None,Mixed,12,0,6.3,100,96
123,S00124,23,Male,USA,Engineering,1,2.33,1.4,60,5.1,8.7,4.0,0.1,1.5,No,Single,High,Average,5.2,0.6,Gemini,Mixed,19,0,2.7,74,71
124,S00125,23,Male,Canada,Biology,3,3.84,4.4,98,6.7,9.1,4.4,2.7,5.7,No,In a Relationship,Middle,Average,4.1,1.0,ChatGPT,Handwritten,13,0,3.3,97,100
125,S00126,22,Male,Netherlands,Physics,3,3.93,6.8,100,6.8,8.4,4.9,1.9,4.9,No,Single,Middle,Average,4.9,0.2,None,Mixed,18,1,0.9,100,100
126,S00127,25,Female,Germany,Physics,3,2.82,2.0,80,7.6,11.2,8.0,0.9,3.0,No,Single,Low,Poor,6.8,1.1,Gemini,Mixed,15,0,4.7,83,100
127,S00128,28,Female,Brazil,Business,2,3.24,2.7,73,3.7,4.1,2.9,1.7,2.6,No,Single,Low,Average,4.5,0.1,None,Digital,9,1,2.9,84,88
128,S00129,23,Male,South Korea,Psychology,2,3.73,3.6,87,7.2,7.1,4.9,0.4,0.0,No,In a Relationship,Low,Good,5.1,0.9,Gemini,Digital,12,0,3.5,91,94
129,S00130,22,Female,Japan,Business,3,3.19,2.7,70,5.6,7.0,4.3,0.4,2.8,Yes,Single,Middle,Average,6.7,1.9,Claude,Handwritten,11,1,1.6,99,79
130,S00131,18,Female,USA,Law,4,2.52,1.2,81,7.4,6.3,4.3,3.4,0.6,No,In a Relationship,High,Poor,4.6,0.0,None,Handwritten,9,0,6.6,68,86
131,S00132,19,Male,India,Engineering,1,3.61,3.6,96,5.8,8.8,5.5,3.7,3.3,Yes,In a Relationship,Middle,Average,5.9,0.1,None,Handwritten,7,1,6.9,100,95
132,S00133,25,Female,France,Business,4,3.35,1.9,77,6.0,7.5,2.2,0.9,5.4,No,Single,Low,Average,2.5,2.6,Copilot,Mixed,19,2,4.9,100,94
133,S00134,20,Female,Bangladesh,Engineering,3,4.0,4.2,97,6.7,6.9,2.1,1.5,1.0,No,In a Relationship,Middle,Average,2.6,0.4,Gemini,Mixed,2,3,4.4,100,96
134,S00135,27,Male,Bangladesh,Business,4,2.94,2.1,73,5.7,6.6,3.3,0.9,3.5,No,In a Relationship,Middle,Average,3.6,0.0,None,Digital,19,3,5.4,92,87
135,S00136,24,Male,Italy,Computer Science,2,4.0,5.8,100,6.4,6.4,2.5,3.0,5.0,Yes,In a Relationship,Low,Good,3.1,1.4,Gemini,Mixed,5,3,6.8,100,100
136,S00137,27,Male,USA,Biology,2,3.02,2.3,86,5.6,5.4,3.3,4.0,3.4,Yes,Single,High,Poor,5.7,1.1,Gemini,Digital,15,0,1.1,97,88
137,S00138,23,Female,UK,Physics,2,2.82,3.0,76,4.8,9.9,5.1,0.7,2.0,Yes,Single,Middle,Poor,7.1,1.3,Gemini,Handwritten,9,0,0.0,95,84
138,S00139,26,Male,USA,Computer Science,2,4.0,4.7,100,8.2,3.2,2.1,0.0,3.0,Yes,In a Relationship,Low,Good,1.4,1.3,Claude,Mixed,4,0,10.0,100,100
139,S00140,26,Male,Italy,Computer Science,4,2.77,1.7,78,5.4,6.4,2.3,2.7,4.9,No,Single,Low,Good,3.5,2.5,Gemini,Handwritten,18,1,0.0,89,82
140,S00141,24,Male,UK,Economics,3,3.5,3.8,100,6.8,6.7,3.1,2.4,3.5,No,In a Relationship,Middle,Good,4.9,0.5,Gemini,Handwritten,1,1,2.9,100,100
141,S00142,27,Female,Germany,Psychology,3,4.0,5.5,100,7.9,4.6,2.5,3.2,3.0,No,Single,Middle,Good,3.5,1.1,Copilot,Handwritten,16,3,4.5,100,100
